"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"IMP_C13T15",11.503,0.385,13.584,0.176,1.794,0.031,0.685,0.081,14.198,3129.028,2.959,16.525,0.817,21.459,1.717,54.191,10.643,0.96,0.49,4.309,44.152,5.194,8.171,99.78,1.809,5.205,316.929,2.547,0.825,17.874,44.527,3.337,0.815,1.394,0.506,0.689,47.462,1.774,0.601,0.32,0.885,0.921,3.658,6.805,15.047,11.521,9.407,4.531,17.121,0,1934.295,0.56,18.613,56.377,21.477,46.275,0,0,0,6036.938
"IMP_C16",5.095,0.64,0.508,0.08,0.356,0.008,0.255,0.018,9.717,6.725,81.32,8.228,0.164,4.698,0.324,6.095,5.745,0.257,0.266,2.443,11.429,2.533,2.708,13.712,1.411,1.188,232.021,1.664,0.155,93.937,8.171,1.283,0.162,0.212,0.371,0.034,5.23,0.557,0.138,0.073,0.224,1.9,1.114,0.896,0.626,1.654,0.781,0.235,2.52,0,99.724,0.012,0.733,23.212,6.711,5.601,0,0,0,655.876
"IMP_C17_18",21.857,0.29,5.567,0.068,2.025,0.043,0.768,0.089,385.377,99.321,15.28,798.184,0.556,44.58,15.772,66.109,49.913,1.763,1.876,13.673,172.287,24.516,24.186,51.725,0.83,5.415,205.418,5.149,1.583,27.118,139.162,11.575,4.068,2.427,2.316,3.31,69.627,81.031,4.678,8.41,17.256,2.995,26.069,30.157,32.97,80.412,16.838,4.176,19.132,0,178.492,0.065,43.681,11.003,3.02,18.869,0,0,0,2853.079
"IMP_C19",183.308,5.978,81.85,2.608,29.026,0.583,16.035,1.764,105.958,90.654,15.133,24.786,84.571,298.458,8.356,145.053,64.556,25.989,6.969,15.773,97.797,25.75,21.136,82.6,2.359,7.469,111.957,155.337,9.215,110.667,198.78,566.599,180.71,390.91,12.702,7.645,54.215,6.612,4.869,2.747,10.584,4.483,14.675,35.6,47.495,31.786,12.246,4.886,20.753,0,780.05,0.171,17.171,20.893,7.725,32.72,0,0,0,4298.724
"IMP_C20",1868.471,4.404,25.337,5.687,47.981,1.479,39.269,2.849,626.434,2089.759,147.312,376.57,50.881,4371.013,207.431,4441.613,388.366,41.085,33.226,140.294,1817.912,260.063,166.807,760.616,34.85,58.609,1465.03,33.134,49.854,363.475,175.754,33.043,11.405,14.446,6.934,1.139,192.097,40.676,2.209,5.24,5.534,25.651,72.509,36.591,36.851,88.144,71.834,9.451,150.933,0,2172.212,1.362,41.233,22.166,12.033,13.935,0,0,0,23163.193
"IMP_C21",115.101,0.096,5.8,0.25,3.11,0.081,0.821,0.055,67.806,25.924,1.413,3.107,1.003,57.798,327.166,29.186,3.179,0.767,0.496,1.609,25.378,2.401,6.568,7.985,0.398,1.153,47.733,2.71,1.7,5.688,19.646,3.964,1.662,1.799,0.349,0.254,4.719,1.284,0.326,0.224,0.759,0.656,20.734,2.528,41.978,23.219,229.291,3.475,11.492,0,1388.08,1.453,252.228,15.378,6.933,8.684,0,0,0,2787.598
"IMP_C22",80.154,1.298,12.172,1.273,12.201,0.163,4.458,0.383,503.989,281.729,21.018,64.702,1.795,124.15,24.021,1000.147,46.973,3.958,4.797,51.46,879.597,162.658,147.163,908.547,7.767,64.293,524.188,5.979,8.815,320.052,271.745,94.748,6.474,5.079,3.509,1.486,38.774,7.787,2.587,1,4.232,8.78,14.001,17.944,10.142,19.17,8.028,2.498,13.96,0,1223.132,0.05,3.059,141.669,43.153,1.722,0,0,0,7214.63
"IMP_C23",18.548,0.269,0.726,0.202,4.258,0.111,3.485,0.147,78.264,18.034,6.924,2.088,1.127,19.56,3.897,39.181,339.875,10.997,3.197,14.125,201.773,25.804,16.391,95.258,2.947,5.238,70.875,5.189,2.703,832.553,21.545,3.792,2.436,0.532,0.571,0.143,19.963,0.434,0.394,0.13,0.755,14.438,4.964,1.641,3.322,9.698,1.617,0.617,4.605,0,174.117,0.022,2.949,156.709,44.26,1.198,0,0,0,2294.6
"IMP_C24A",17.349,0.626,1.625,2.909,79.607,0.501,3.372,1.048,26.181,27.514,14.164,6.695,1.606,17.752,1.217,140.5,115.087,1350.269,55.493,2015.455,1306.087,459.48,1661.133,2722.967,122.489,464.427,815.21,26.137,21.683,1277.674,66.07,11.889,6.16,0.77,2.784,0.141,2.637,0.325,0.243,0.102,0.568,7.193,23.754,4.01,4.492,6.706,0.796,1.343,4.586,0,3.825,0.005,0.274,8.381,2.141,0.23,0,0,0,12915.68
"IMP_C24B",10.708,0.351,0.709,0.211,9.817,0.118,1.181,0.116,63.354,35.17,7.999,10.059,0.966,93.75,3.849,82.153,34.607,144.513,763.795,644.049,2403.358,824.099,466.321,1015.35,22.937,157.362,964.149,9.999,11.911,220.39,45.941,5.567,2.45,0.624,0.719,0.124,9.652,1.085,0.431,0.23,1.102,2.776,6.498,1.88,3.897,6.248,2.973,1.396,5.279,0,114.944,0.026,7.313,57.531,16.444,0.334,0,0,0,8298.818
"IMP_C25",58.872,2.341,6.683,3.736,43.567,0.461,7.437,1.995,277.025,79.436,41.521,14.122,2.708,64.171,5.558,116.757,62.671,58.884,18.56,663.992,1036.436,239.187,793.295,1326.976,71.172,188.336,754.237,21.535,6.808,995.88,121.288,19.547,7.21,2.659,3.059,0.421,38.371,2.566,3.943,1.206,1.546,16.573,29.195,19.196,47.72,18.913,4.003,2.662,16.616,0,749.818,0.048,6.621,1585.72,445.563,2.143,0,0,0,10110.964
"IMP_C26",14.279,0.329,2.212,0.294,6.344,0.055,1.098,0.213,18.847,29.887,2.139,7.033,1.778,30.679,3.02,33.111,8.251,3.761,1.937,22.331,15231.041,278.444,181.001,296.945,18.465,40.184,198.144,21.818,5.335,87.187,111.638,10.29,5.816,11.506,2.612,1.972,21.714,21.388,84.683,30.072,12.214,2.803,43.213,16.886,27.785,43.051,16.572,3.951,21.036,0,5265.364,2.003,647.991,10720.39,2981.74,11.358,0,0,0,36664.206
"IMP_C27",18.165,0.374,5.893,0.892,6.974,0.204,4.986,0.759,28.424,14.958,2.822,7.916,1.124,15.705,2.119,29.921,15.147,6.101,5.53,46.586,3192.169,1508.558,400.008,1208.827,19.458,105.121,349.836,149.817,5.95,594.649,174.176,37.061,13.041,7.268,2.818,0.895,47.715,9.633,43.163,7.493,3.575,6.517,41.083,20.119,34.175,24.97,9.159,7.632,22.329,0,1142.91,0.063,6.193,4553.752,1277.283,5.505,0,0,0,15247.524
"IMP_C28",36.906,3.481,11.729,5.187,58.603,0.667,12.655,2.51,69.217,43.895,9.57,16.865,4.162,29.889,3.331,48.098,58.763,13.923,5.13,56.345,477.944,136.753,1024.67,631.706,40.847,78.485,340.119,47.617,9.027,230.817,105.907,24.028,5.602,5.606,2.697,0.936,9.788,4.062,4.721,2.161,6.003,1.903,20.816,28.061,18.897,14.939,6.566,3.095,7.258,0,73.384,0.658,48.832,7488.335,2094.112,2.242,0,0,0,13489.524
"IMP_C29",3.492,0.736,0.951,0.091,1.814,0.037,0.714,0.093,6.321,4.816,0.706,1.018,0.422,2.723,0.421,6.348,3.999,1.134,1.096,4.934,66.141,17.715,27.529,2368.201,1.3,15.098,23.372,3.435,0.858,16.497,212.164,52.756,3.986,6.052,1.216,0.349,2.313,0.825,0.917,0.478,1.124,0.574,2.875,6.167,3.203,3.114,1.053,0.605,1.256,0,1357.619,0.238,31.736,4989.766,1398.907,9.202,0,0,0,10670.508
"IMP_C301",0.308,0.024,14.67,0.015,1.651,0.007,0.126,0.005,0.809,0.232,0.085,0.061,0.019,0.187,0.018,0.392,0.167,0.146,0.052,1.382,9.31,1.042,6.931,23.004,512.45,128.825,36.572,0.22,0.057,2.061,3.075,8.226,213.196,51.206,1.708,0.04,0.261,0.025,0.02,0.01,0.083,0.044,0.393,1.224,28.089,0.409,0.045,0.189,0.749,0,10.446,0.002,0.139,1653.391,462.715,0.025,0,0,0,3176.54
"IMP_C302T309",0.485,0.121,3.533,0.043,0.242,0.005,0.055,0.015,1.326,0.567,0.115,0.16,0.072,0.534,0.06,0.788,0.325,0.657,0.139,2.112,13.877,2.336,4.554,87.908,12.353,479.731,30.926,0.331,0.069,2.482,11.943,30.078,7.793,66.511,0.599,0.067,0.356,0.091,0.101,0.098,0.144,0.081,0.512,2.436,12.181,0.535,0.264,0.097,0.752,0,208.125,0.046,5.187,769.128,215.32,0.169,0,0,0,1978.534
"IMP_C31T33",17.338,0.866,8.198,0.299,8.95,0.072,2.106,0.333,28.168,84.414,4.255,6.993,1.294,15.839,4.303,16.556,8.962,4.477,1.929,9.949,239.124,19.444,24.558,58.687,5.89,12.902,770.317,12.121,4.213,68.594,51.012,20.995,7.07,16.112,2.317,1.409,41.397,4.712,4.239,2.014,9.852,3.994,15.345,16.146,24.379,74.852,31.265,10.662,21.291,0,1447.659,0.299,101.9,757.772,204.015,41.86,0,0,0,4353.719
"IMP_D",43.393,0.617,6.34,1.395,24.081,0.252,7.128,0.294,85.793,67.477,6.441,22.467,24.15,53.82,3.14,42.993,42.75,16.949,7.544,15.299,116.543,13.823,16.674,51.301,1.696,7.357,41.465,202.431,14.604,16.392,86.745,33.5,1.469,1.976,2.696,1.324,98.12,5.315,7.817,1.75,6.777,9.365,7.545,8.647,23.933,48.378,13.418,5.77,15.252,0,275.834,0.111,14.574,9.136,1.654,2.499,0,0,0,1638.213
"IMP_E",1.14,0.01,0.072,0.011,0.279,0.002,0.061,0.01,1.612,1.25,0.104,0.29,0.923,1.917,0.145,1.836,0.482,0.219,0.076,0.395,2.949,0.489,0.593,1.359,0.064,0.211,1.282,1.459,0.078,1.2,1.499,0.339,0.114,0.164,0.068,0.026,1.039,0.157,0.136,0.082,0.257,0.187,0.447,0.329,0.463,0.519,0.168,0.075,0.21,0,6.074,0.024,1.175,2.455,0.507,0.893,0,0,0,37.924
"IMP_F",2.042,0.101,0.272,0.061,1.144,0.008,0.309,0.058,5,3.543,0.612,0.702,1.999,2.548,0.448,3.504,2.532,0.729,0.387,2.432,13.767,2.22,3.698,8.172,0.35,1.123,6.495,4.174,0.251,8.537,6.919,2.334,0.999,1.405,0.377,0.144,2.511,0.715,1.068,0.442,0.977,0.593,1.903,1.289,1.657,1.503,0.594,0.229,0.65,0,23.792,0.154,4.22,18.029,3.224,15.306,0,0,0,168.251
"IMP_G",684.236,6.353,49.879,5.768,91.781,0.849,23.246,2.576,1020.733,1108.235,67.867,240.436,362.414,1060.278,167.195,1093.535,244.657,216.568,67.337,402.474,4052.536,431.949,618.887,1520.858,101.603,212.015,1073.888,602.261,23.778,668.854,513.089,174.773,107.159,118.353,14.986,5.873,373.061,83.512,36.064,14.036,23.884,20.658,79.218,67.525,82.935,114.877,121.497,16.032,69.196,0,5100.296,3.474,273.362,4837.634,1340.91,257.223,0,0,0,30072.678
"IMP_H49",91.812,6.21,9.345,3.855,47.57,0.387,19.081,1.488,236.241,119.939,24.139,41.484,103.966,116.612,11.576,102.984,93.284,50.337,13.984,78.855,465.559,73.592,103.305,238.512,7.967,36.415,201.63,183.342,6.165,151.71,355.421,260.509,17.972,18.5,22.471,19.299,60.292,23.787,6.936,2.623,10.892,4.787,21.286,34.962,32.486,52.708,17.102,4.863,18.039,0,1313.054,0.575,105.123,407.268,113.625,337.083,0,0,0,5903.007
"IMP_H50",24.872,8.641,34.844,0.975,38.368,0.13,10.691,0.428,75.265,57.94,12.095,17.249,46.967,58.428,3.368,47.728,27.429,19.451,6.547,25.05,256.374,30.794,31.887,64.893,3.725,10.132,61.713,69.124,1.293,40.682,325.144,99.785,1380.521,10.936,51.001,3.125,13.114,9.009,2.922,1.23,2.717,0.954,12.261,60.994,13.567,7.975,2.499,1.957,4.131,0,1377.887,0.145,10.949,187.727,51.857,75.421,0,0,0,4794.912
"IMP_H51",32.103,5.45,6.144,0.601,80.461,0.113,7.863,0.82,76.333,84.379,7.734,16.513,3.109,27.716,9.737,31.549,27.473,4.316,2.996,10.591,223.94,48.976,49.017,46.963,1.971,20.019,110.82,14.376,5.417,73.161,501.654,61.516,19.967,1245.837,73.343,62.706,71.249,31.066,20.672,18.411,111.632,15.501,63.837,912.684,157.896,108.526,30.271,18.8,48.162,0,2002.102,0.101,6.763,50.247,13.908,223.957,0,0,0,6901.469
"IMP_H52",36.129,2.288,14.024,1.729,19.608,0.175,5.655,0.829,106.925,55.369,10.455,18.361,40.719,49.496,5.378,40.304,28.709,14.528,4.84,25.042,175.615,27.091,35.154,113.308,4.912,14.144,77.13,65.362,2.955,48.243,415.878,272.103,213.237,304.933,71.144,9.45,25.152,9.227,5.686,2.092,5.277,1.93,10.87,30.456,18.961,10.398,3.876,2.695,7.035,0,175.394,1.396,10.219,131.633,36.266,19.947,0,0,0,2839.734
"IMP_H53",2.033,0.067,0.331,0.044,0.588,0.004,0.157,0.029,2.598,3.015,0.328,0.757,0.155,1.012,0.245,1.193,0.646,0.157,0.085,0.53,6.255,0.752,1.409,2.579,0.092,0.42,3.232,1.654,0.434,1.969,30.789,3.132,0.551,2.844,0.878,17.758,6.22,2.709,2.797,0.611,8.515,0.882,2.697,4.356,7.554,4.77,1.931,0.588,3.166,0,22.129,0.017,1.81,1.755,0.26,7.726,0,0,0,169.215
"IMP_I",1.163,0.018,0.122,0.009,0.242,0.001,0.042,0.006,2.777,1.036,0.111,0.289,0.873,0.972,0.188,0.802,0.292,0.153,0.07,0.307,3.027,0.345,0.478,1.038,0.046,0.159,1.295,1.344,0.053,0.733,2.093,0.546,0.205,0.375,0.08,0.034,2.205,8.132,1.059,0.159,0.378,0.247,2.169,0.563,0.511,0.673,0.247,0.331,0.326,0,15.183,0.278,3.265,4.179,0.609,1876.402,0,0,0,1938.238
"IMP_J58T60",5.678,0.308,1.069,0.098,3.167,0.024,0.693,0.12,54.511,18.366,1.752,7.429,1.029,12.802,4.513,9.747,4.25,1.121,0.667,3.092,61.432,9.272,8.071,24.234,0.895,6.283,33.366,6.577,1.788,12.067,137.796,16.843,3.107,10.772,1.923,1.718,105.207,1057.305,114.734,17.683,22.412,9.386,279.519,42.626,35.013,84.88,11.117,33.336,30.727,0,693.407,11.224,358.839,320.244,7.329,25.626,0,0,0,3727.193
"IMP_J61",16.019,1.216,7.501,0.883,15.863,0.059,2.75,0.417,38.034,50.864,5.547,9.474,1.257,11.836,5.131,17.548,10.17,2.258,1.748,10.92,182.594,17.678,29.647,65.413,1.551,8.236,71.212,18.88,5.278,53.776,280.654,55.41,12.469,17.482,7.413,9.173,140.422,55.398,415.679,27.374,94.65,23.002,50.764,78.18,119.063,74.807,28.275,12.095,47.864,0,1987.587,0.36,43.638,14.729,1.8,96.4,0,0,0,4358.447
"IMP_J62_63",7.623,0.287,1.407,0.269,5.545,0.038,1.251,0.187,46.047,24.969,2.198,6.706,1.956,15.86,5.155,14.719,6.814,1.825,0.973,5.807,171.271,12.938,13.556,32.208,1.819,6.386,36.662,15.658,3.522,23.155,127.897,16.351,6.478,13.044,3.364,3.187,36.285,26.027,29.473,58.986,46.528,7.538,34.283,33.158,37.67,38.022,8.049,4.438,13.061,0,124.39,1.229,58.489,1209.569,14.598,7.728,0,0,0,2426.65
"IMP_K",178.181,5.305,31.374,2.433,80.86,0.569,9.764,3.319,289.531,189.994,19.262,46.836,9.556,88.94,16.897,98.176,60.154,18.688,12.694,45.965,573.271,80.063,86.108,179.116,7.677,32.087,247.287,124.497,24.907,190.189,739.957,168.616,46.828,94.792,18.788,9.748,226.661,34.193,44.043,19.809,1174.408,312.06,94.552,149.458,154.336,104.888,30.74,22.766,74.363,0,2009.795,6.285,102.827,30.065,0.82,92.152,0,0,0,8516.652
"IMP_L",2.276,0.177,0.562,0.139,4.005,0.016,0.686,0.102,12.612,13.778,0.992,2.264,13.344,6.024,0.751,4.533,3.61,1.094,0.666,3.095,31.297,3.405,4.1,10.286,0.641,1.618,17.757,20.638,0.634,13.704,108.014,10.065,2.766,3.931,2.688,1.206,57.153,5.323,5.656,3.218,15.518,12.028,9.041,11.519,10.677,17.341,6.15,3.131,8.79,0,906.468,13.137,64.842,251.795,0.42,400.268,0,0,0,2105.953
"IMP_M",209.939,2.497,17.943,3.001,72.23,0.626,15.22,5.052,556.363,284.953,20.886,50.964,8.923,129.097,44.121,149.232,80.207,20.692,9.441,65.989,1560.22,114.333,137.039,480.665,22.986,71.075,356.544,142.848,27.959,397.342,1227.795,123.609,45.596,74.807,28.133,10.119,411.835,167.886,112.473,65.865,269.919,107.22,412.268,253.298,236.991,263.066,68.674,44.774,126.06,0,737.464,25.813,1287.745,807.351,13.33,42.857,0,0,0,12023.337
"IMP_N",60.022,2.872,11.291,2.27,70.793,0.463,13.373,2.73,184.866,112.286,13.6,31.149,5.275,50.89,16.328,71.92,46.642,8.843,5.075,33.806,390.449,56.364,76.881,177.162,7.667,35.687,189.677,86.124,26.296,185.848,580.413,137.347,65.47,116.058,32.387,15.688,266.246,64.275,69.834,41.828,125.315,79.644,108.081,380.591,204.2,267.81,60.668,38.816,67.633,0,1161.675,4.812,360.034,77.533,2.669,76.369,0,0,0,6382.047
"IMP_O",2.118,0.17,0.19,0.03,0.515,0.004,0.142,0.023,4.81,1.878,0.656,0.528,0.422,1.711,0.311,1.717,0.746,0.263,0.126,0.466,5.877,0.622,0.847,2.04,0.081,0.35,2.431,1.497,0.177,1.97,5.646,2.177,1.407,1.566,0.455,0.134,2.258,1.063,0.522,0.398,0.936,0.494,1.27,1.235,1.228,1.353,0.456,0.224,0.497,0,20.07,0.263,9.846,10.808,0.859,15.147,0,0,0,113.031
"IMP_P",0.707,0.033,0.091,0.015,0.355,0.002,0.076,0.015,1.602,1.471,0.14,0.838,0.117,1.043,0.197,1.196,0.363,0.118,0.048,0.281,3.693,0.469,0.56,1.709,0.062,0.264,1.808,0.41,0.078,0.882,3.262,0.818,0.948,2.275,0.241,0.168,1.016,0.643,0.361,0.415,0.721,0.181,1.395,2.369,0.979,1.007,0.324,0.135,0.351,0,12.891,0.664,78.586,23.384,0.39,340.15,0,0,0,492.318
"IMP_Q",0.858,0.01,0.071,0.008,0.133,0.001,0.033,0.005,1.091,1.968,0.09,0.256,0.098,1.243,0.306,1.391,0.265,0.321,0.075,0.672,11.66,0.767,1.138,1.988,0.09,0.291,2.02,0.253,0.051,1.103,1.086,0.36,0.169,0.289,0.066,0.02,0.619,0.148,0.128,0.074,0.137,0.086,0.259,0.238,0.283,0.371,0.275,0.054,0.159,0,9.703,0.046,4.054,11.738,2.908,85.878,0,0,0,147.409
"IMP_R",0.766,0.034,0.108,0.014,0.275,0.003,0.081,0.008,2.792,1.394,0.124,0.378,0.092,0.802,0.311,0.866,0.394,0.096,0.051,0.349,4.046,0.463,0.714,2.087,0.091,0.27,2.288,0.518,0.116,1.336,6.302,0.877,0.329,0.521,0.136,0.08,8.377,15.468,0.835,0.318,0.935,0.372,2.652,3.258,3.382,4.086,0.755,8.023,2.444,0,7.892,36.031,2.767,3.61,0.5,184.482,0,0,0,315.298
"IMP_S",0.571,0.01,0.053,0.006,0.117,0.001,0.028,0.004,0.98,1.146,0.078,0.262,0.258,0.746,0.183,0.74,0.207,0.094,0.039,0.207,3.545,0.298,0.382,0.815,0.063,0.175,1.02,0.473,0.037,0.557,1.118,0.339,0.17,0.28,0.061,0.02,0.571,0.231,0.123,0.085,0.382,0.089,0.229,0.232,0.264,0.338,0.184,0.056,0.137,0,6.79,0.049,0.85,4.299,0.82,98.313,0,0,0,129.125
"IMP_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMP_OTHER",23.149,0.275,3.485,0.531,13.505,0.072,2.254,0.269,24.49,96.265,3.338,13.273,71.4,64.844,8.799,61.17,19.638,12.745,6.54,22.863,270.117,32.887,37.257,148.959,5.953,14.67,94.653,105.423,2.094,47.239,47.79,19.994,8.594,18.063,2.115,1.11,23.811,8.335,7.202,1.941,7.029,2.945,8.349,12.956,10.358,12.978,8.407,2.027,6.281,0,388.507,0.468,21.224,432.033,118.746,346.328,0,0,0,2725.749
"TXS_INT_FNL",426.377,11.676,124.938,22.519,93.497,2.395,97.202,10.75,650.683,888.518,78.109,235.372,101.168,1620.055,58.824,678.773,745.561,339.184,159.361,349.306,1821.52,303.474,419.707,1218.266,37.376,140.667,1141.009,118.431,42.441,721.128,905.347,796.299,47.871,41.34,38.57,19.117,818.798,60.018,41.719,19.181,56.789,45.07,102.697,151.037,181.987,204.375,88.626,31.25,87.987,0,13422.665,32.915,169.2,5864.55,1547.747,0,509.969,5118.649,0,43062.061
"TTL_INT_FNL",24666.813,457.184,3933.483,295.17,6785.586,45.565,1545.916,203.952,60736.358,38147.245,2395.618,6470.22,22374.067,22008.557,2417.188,18522.245,12041.437,5614.865,2414.361,8819.678,82513.174,9349.155,12090.201,34341.933,1815.486,5171.245,29594.762,40962.312,1737.933,29240.932,29516.052,16221.4,6583.794,10567.752,1317.222,1007.931,27304.872,6067.656,3456.769,1095.328,8306.413,4079.935,5121.51,7633.594,7512.518,8897.919,3755.115,1564.829,3962.727,0,268143.396,4255.649,87654.863,122203.512,20424.384,5025.327,12432.476,300759.415,0,1461585
"VALU",33156.575,325.704,3309.775,244.606,7367.564,70.556,1859.166,1812.608,25976.421,5256.14,1467.247,1732.091,15086.604,9808.916,1573.534,7376.252,3953.395,1635.797,980.271,3560.011,9463.094,5458.425,4536.396,8689.286,962.616,1038.636,5748.385,12237.794,1852.938,10641.959,88992.448,8560.212,3503.082,1815.714,3923.134,2081.116,17974.968,1198.399,6988.134,3687.143,35342.571,13373.403,7115.266,5307.318,26120.782,17850.384,12753.899,2733.835,5042.522,731.44,0,0,0,0,0,0,0,0,0,452278.532
"OUTPUT",57823.389,782.888,7243.258,539.776,14153.15,116.12,3405.083,2016.559,86712.779,43403.385,3862.865,8202.312,37460.671,31817.473,3990.722,25898.497,15994.831,7250.662,3394.632,12379.689,91976.269,14807.58,16626.598,43031.218,2778.101,6209.882,35343.147,53200.107,3590.872,39882.891,118508.5,24781.612,10086.876,12383.465,5240.356,3089.046,45279.839,7266.055,10444.903,4782.471,43648.983,17453.339,12236.776,12940.912,33633.3,26748.303,16509.015,4298.664,9005.249,731.44,0,0,0,0,0,0,0,0,0,1092964.509
